,State,Gender,Year,Name,Count
0,AK,F,1910,Mary,14
1,AK,F,1910,Annie,12
2,AK,F,1910,Anna,10
3,AK,F,1910,Margaret,8
4,AK,F,1910,Helen,7
5,AK,F,1910,Elsie,6
6,AK,F,1910,Lucy,6
7,AK,F,1910,Dorothy,5
8,AK,F,1911,Mary,12
9,AK,F,1911,Margaret,7
10,AK,F,1911,Ruth,7
11,AK,F,1911,Annie,6
12,AK,F,1911,Elizabeth,6
13,AK,F,1911,Helen,6
14,AK,F,1912,Mary,9
15,AK,F,1912,Elsie,8
16,AK,F,1912,Agnes,7
17,AK,F,1912,Anna,7
18,AK,F,1912,Helen,7
19,AK,F,1912,Louise,7
20,AK,F,1912,Jean,6
21,AK,F,1912,Ruth,6
22,AK,F,1912,Alice,5
23,AK,F,1912,Esther,5
24,AK,F,1912,Ethel,5
25,AK,F,1912,Margaret,5
26,AK,F,1912,Marie,5
27,AK,F,1913,Mary,21
28,AK,F,1913,Elizabeth,9
29,AK,F,1913,Margaret,8
30,AK,F,1913,Helen,7
31,AK,F,1913,Alice,5
32,AK,F,1913,Annie,5
33,AK,F,1913,Louise,5
34,AK,F,1914,Mary,22
35,AK,F,1914,Margaret,10
36,AK,F,1914,Alice,8
37,AK,F,1914,Annie,8
38,AK,F,1914,Elizabeth,7
39,AK,F,1914,Helen,7
40,AK,F,1914,Clara,6
41,AK,F,1914,Dorothy,6
42,AK,F,1914,Martha,6
43,AK,F,1914,Agnes,5
44,AK,F,1914,Esther,5
45,AK,F,1914,Frances,5
46,AK,F,1914,Julia,5
47,AK,F,1914,Lillian,5
48,AK,F,1914,Mildred,5
49,AK,F,1914,Pauline,5
50,AK,F,1915,Mary,23
51,AK,F,1915,Alice,13
52,AK,F,1915,Helen,12
53,AK,F,1915,Anna,10
54,AK,F,1915,Dorothy,10
55,AK,F,1915,Margaret,9
56,AK,F,1915,Ruth,9
57,AK,F,1915,Elizabeth,7
58,AK,F,1915,Frances,6
59,AK,F,1915,Katherine,6
60,AK,F,1915,Martha,6
61,AK,F,1915,Annie,5
62,AK,F,1915,Clara,5
63,AK,F,1915,Emma,5
64,AK,F,1915,Hazel,5
65,AK,F,1915,Julia,5
66,AK,F,1915,Marie,5
67,AK,F,1915,Minnie,5
68,AK,F,1915,Pauline,5
69,AK,F,1916,Mary,18
70,AK,F,1916,Helen,12
71,AK,F,1916,Dorothy,8
72,AK,F,1916,Frances,8
73,AK,F,1916,Ruth,8
74,AK,F,1916,Alice,7
75,AK,F,1916,Anna,7
76,AK,F,1916,Agnes,6
77,AK,F,1916,Annie,6
78,AK,F,1916,Julia,6
79,AK,F,1916,Lillian,6
80,AK,F,1916,Margaret,6
81,AK,F,1916,Daisy,5
82,AK,F,1916,Edna,5
83,AK,F,1916,Esther,5
84,AK,F,1916,Evelyn,5
85,AK,F,1916,Florence,5
86,AK,F,1916,Katherine,5
87,AK,F,1916,Louise,5
88,AK,F,1916,Lucy,5
89,AK,F,1916,Marie,5
90,AK,F,1916,Sally,5
91,AK,F,1917,Mary,21
92,AK,F,1917,Margaret,11
93,AK,F,1917,Helen,10
94,AK,F,1917,Frances,9
95,AK,F,1917,Alice,7
96,AK,F,1917,Olga,7
97,AK,F,1917,Ruth,7
98,AK,F,1917,Clara,6
99,AK,F,1917,Dorothy,6
100,AK,F,1917,Anna,5
101,AK,F,1917,Edith,5
102,AK,F,1917,Florence,5
103,AK,F,1917,Maggie,5
104,AK,F,1917,Rose,5
105,AK,F,1917,Sophie,5
106,AK,F,1918,Mary,27
107,AK,F,1918,Margaret,11
108,AK,F,1918,Helen,10
109,AK,F,1918,Marie,10
110,AK,F,1918,Martha,10
111,AK,F,1918,Ruth,10
112,AK,F,1918,Anna,8
113,AK,F,1918,Gertrude,8
114,AK,F,1918,Julia,7
115,AK,F,1918,Virginia,7
116,AK,F,1918,Alice,6
117,AK,F,1918,Elizabeth,6
118,AK,F,1918,Annie,5
119,AK,F,1918,Clara,5
120,AK,F,1918,Elsie,5
121,AK,F,1918,Emma,5
122,AK,F,1918,Sarah,5
123,AK,F,1918,Stella,5
124,AK,F,1918,Vera,5
125,AK,F,1919,Mary,22
126,AK,F,1919,Margaret,17
127,AK,F,1919,Dorothy,13
128,AK,F,1919,Betty,11
129,AK,F,1919,Helen,11
130,AK,F,1919,Martha,9
131,AK,F,1919,Virginia,9
132,AK,F,1919,Irene,8
133,AK,F,1919,Elizabeth,7
134,AK,F,1919,Emma,7
135,AK,F,1919,Marie,7
136,AK,F,1919,Agnes,6
137,AK,F,1919,Annie,6
138,AK,F,1919,Barbara,6
139,AK,F,1919,Frances,6
140,AK,F,1919,Gladys,6
141,AK,F,1919,Jean,6
142,AK,F,1919,Louise,6
143,AK,F,1919,Ann,5
144,AK,F,1919,Anna,5
145,AK,F,1919,Evelyn,5
146,AK,F,1919,Josephine,5
147,AK,F,1919,Katherine,5
148,AK,F,1919,Kathryn,5
149,AK,F,1919,Minnie,5
150,AK,F,1919,Ruth,5
151,AK,F,1919,Vera,5
152,AK,F,1920,Mary,38
153,AK,F,1920,Margaret,19
154,AK,F,1920,Helen,14
155,AK,F,1920,Ruth,14
156,AK,F,1920,Martha,11
157,AK,F,1920,Elizabeth,10
158,AK,F,1920,Virginia,10
159,AK,F,1920,Florence,9
160,AK,F,1920,Agnes,8
161,AK,F,1920,Dorothy,8
162,AK,F,1920,Alice,7
163,AK,F,1920,Anna,7
164,AK,F,1920,Edith,7
165,AK,F,1920,Annie,6
166,AK,F,1920,Betty,6
167,AK,F,1920,Elsie,6
168,AK,F,1920,Ethel,6
169,AK,F,1920,Irene,6
170,AK,F,1920,Katie,6
171,AK,F,1920,Rose,6
172,AK,F,1920,Frances,5
173,AK,F,1920,Hazel,5
174,AK,F,1920,Katherine,5
175,AK,F,1920,Lorraine,5
176,AK,F,1920,Patricia,5
177,AK,F,1921,Mary,36
178,AK,F,1921,Dorothy,11
179,AK,F,1921,Alice,10
180,AK,F,1921,Margaret,10
181,AK,F,1921,Annie,9
182,AK,F,1921,Helen,9
183,AK,F,1921,Elizabeth,8
184,AK,F,1921,Virginia,8
185,AK,F,1921,Katherine,7
186,AK,F,1921,Mildred,7
187,AK,F,1921,Anna,6
188,AK,F,1921,Agnes,5
189,AK,F,1921,Bessie,5
190,AK,F,1921,Betty,5
191,AK,F,1921,Elsie,5
192,AK,F,1921,Emma,5
193,AK,F,1921,Esther,5
194,AK,F,1921,Jean,5
195,AK,F,1921,Joan,5
196,AK,F,1921,Lillian,5
197,AK,F,1921,Ruth,5
198,AK,F,1921,Thelma,5
199,AK,F,1922,Mary,29
200,AK,F,1922,Helen,13
201,AK,F,1922,Alice,12
202,AK,F,1922,Anna,10
203,AK,F,1922,Margaret,9
204,AK,F,1922,Martha,9
205,AK,F,1922,Louise,8
206,AK,F,1922,Katherine,7
207,AK,F,1922,Annie,6
208,AK,F,1922,Dorothy,6
209,AK,F,1922,Elizabeth,6
210,AK,F,1922,Emma,6
211,AK,F,1922,Esther,6
212,AK,F,1922,Marie,6
213,AK,F,1922,Ruth,6
214,AK,F,1922,Betty,5
215,AK,F,1922,Clara,5
216,AK,F,1922,Evelyn,5
217,AK,F,1922,Frances,5
218,AK,F,1922,Sarah,5
219,AK,F,1923,Mary,26
220,AK,F,1923,Elizabeth,13
221,AK,F,1923,Anna,12
222,AK,F,1923,Dorothy,11
223,AK,F,1923,Helen,11
224,AK,F,1923,Ruth,11
225,AK,F,1923,Annie,10
226,AK,F,1923,Margaret,10
227,AK,F,1923,Frances,9
228,AK,F,1923,Marie,9
229,AK,F,1923,Florence,8
230,AK,F,1923,Agnes,7
231,AK,F,1923,Alice,7
232,AK,F,1923,Betty,6
233,AK,F,1923,Edna,6
234,AK,F,1923,Elsie,6
235,AK,F,1923,Ethel,6
236,AK,F,1923,Virginia,6
237,AK,F,1923,Jean,5
238,AK,F,1923,Jessie,5
239,AK,F,1923,Julia,5
240,AK,F,1923,Nellie,5
241,AK,F,1923,Olga,5
242,AK,F,1923,Pauline,5
243,AK,F,1923,Sarah,5
244,AK,F,1924,Mary,41
245,AK,F,1924,Elizabeth,12
246,AK,F,1924,Margaret,11
247,AK,F,1924,Betty,10
248,AK,F,1924,Anna,9
249,AK,F,1924,Dorothy,9
250,AK,F,1924,Marie,9
251,AK,F,1924,Ruth,9
252,AK,F,1924,Alice,8
253,AK,F,1924,Patricia,8
254,AK,F,1924,Irene,7
255,AK,F,1924,Mildred,7
256,AK,F,1924,Esther,6
257,AK,F,1924,Ida,6
258,AK,F,1924,Olga,6
259,AK,F,1924,Annie,5
260,AK,F,1924,Clara,5
261,AK,F,1924,Marjorie,5
262,AK,F,1924,Pauline,5
263,AK,F,1924,Vera,5
264,AK,F,1925,Mary,24
265,AK,F,1925,Margaret,17
266,AK,F,1925,Agnes,11
267,AK,F,1925,Betty,9
268,AK,F,1925,Lillian,9
269,AK,F,1925,Mildred,9
270,AK,F,1925,Esther,8
271,AK,F,1925,Helen,8
272,AK,F,1925,Ruth,8
273,AK,F,1925,Anna,7
274,AK,F,1925,Dorothy,7
275,AK,F,1925,Emma,7
276,AK,F,1925,Evelyn,7
277,AK,F,1925,Norma,7
278,AK,F,1925,Sarah,7
279,AK,F,1925,Florence,6
280,AK,F,1925,Louise,6
281,AK,F,1925,Marie,6
282,AK,F,1925,Pauline,6
283,AK,F,1925,Alice,5
284,AK,F,1925,Annie,5
285,AK,F,1925,Beatrice,5
286,AK,F,1925,Elena,5
287,AK,F,1925,Elsie,5
288,AK,F,1925,Irene,5
289,AK,F,1925,Jean,5
290,AK,F,1925,Katherine,5
291,AK,F,1925,Virginia,5
292,AK,F,1926,Mary,39
293,AK,F,1926,Margaret,17
294,AK,F,1926,Alice,15
295,AK,F,1926,Anna,13
296,AK,F,1926,Lucy,9
297,AK,F,1926,Martha,9
298,AK,F,1926,Esther,8
299,AK,F,1926,Helen,8
300,AK,F,1926,Elizabeth,7
301,AK,F,1926,Florence,7
302,AK,F,1926,Gladys,7
303,AK,F,1926,Irene,7
304,AK,F,1926,Ruth,7
305,AK,F,1926,Grace,6
306,AK,F,1926,Hazel,6
307,AK,F,1926,Jessie,6
308,AK,F,1926,Julia,6
309,AK,F,1926,Mildred,6
310,AK,F,1926,Patricia,6
311,AK,F,1926,Pauline,6
312,AK,F,1926,Clara,5
313,AK,F,1926,Laura,5
314,AK,F,1926,Marian,5
315,AK,F,1926,Marie,5
316,AK,F,1926,Sophie,5
317,AK,F,1927,Mary,30
318,AK,F,1927,Dorothy,13
319,AK,F,1927,Helen,13
320,AK,F,1927,Alice,11
321,AK,F,1927,Betty,11
322,AK,F,1927,Elizabeth,10
323,AK,F,1927,Florence,10
324,AK,F,1927,Barbara,8
325,AK,F,1927,Anna,7
326,AK,F,1927,Annie,7
327,AK,F,1927,Margaret,7
328,AK,F,1927,Ruth,7
329,AK,F,1927,Agnes,6
330,AK,F,1927,Elsie,6
331,AK,F,1927,Emma,6
332,AK,F,1927,June,6